台湾ASUSは1月6日、薄型軽量で有機ELディスプレイを採用するプレミアムなビジネス向けノートPC「Zenbook OLED」シリーズの製品に、第12世代Intel Coreプロセッサや新しいAMD Ryzen 5000シリーズの搭載で刷新した新モデルを発表した。	製品化・サービス化
加古川の仏壇・仏具店が「ファンタジー仏壇」、カスタマイズも 仏壇・仏具店「素心」が1月31日、プラスチック加工会社「匠工芸」とのコラボ仏壇「ファンタジー仏壇Prayer Spot~旅立ち~」の販売を始めた。	製品化・サービス化
ロジテックINAソリューションズが、スティック型ポータブルSSD「LMD-SPBU3」シリーズを発売しました。	製品化・サービス化
株式会社Nabocul Cosmeticsは、2022年1月12日から14日まで東京ビッグサイトで開催された「2022年東京化粧品展覧会COSME TOKYO」に初出展し、新しいエイジングケア分野の最新テクノロジー化合物「OLANDU」を発表しました。	製品化・サービス化
日本全国に料理と飲み物を1箱にしたフードボックスをお届けする「nonpi foodboxTM」を展開する株式会社ノンピは、2022年3月4日から「神田明神下みやび、桜満開お花見プラン」を販売開始いたします。	製品化・サービス化
スパトレは2021年4月より東京書籍が発行する中学校英語教科書「NEW HORIZON」に準拠したオンライン英語トレーニングの提供をスタートいたしました。	製品化・サービス化
イマジニアは,氷上で行うウィンタースポーツ「カーリング」を手軽に楽しめるNintendo Switch向けソフト「みんなのカーリング」を,本日発売した。	製品化・サービス化
アスザックフーズ株式会社は「水でできる大根おろし」を2022年3月1日から順次発売します。	製品化・サービス化
ビジネス現場のコミュニケーションツール「LINE WORKS」を提供するワークスモバイルジャパン株式会社は、お使いのLINE WORKS IDのQRコードが印刷されたシール100枚を、先着500名様に無料でお届けする「"あなた専用のQRコード"、シールでお届けキャンペーン」を開始することをお知らせいたします。	製品化・サービス化
メルセデス・ベンツ日本は、メルセデスAMG「GT 4ドアクーペ」の2022年モデルを発表。	製品化・サービス化
創業初期から、NIMASOは、スマートフォンに関連するアクセサリーの開発販売に力を入れ、ブラントを発展させました。	製品化・サービス化
キリンビバレッジ株式会社は、「トロピカーナ」の、季節のおいしさを楽しみながら栄養補給もできる100%果実飲料"の「ヘルシーフルーツ」シリーズの第3弾として、「トロピカーナ ライチ&グレープフルーツテイスト」を、4月5日より全国で季節限定にて新発売します。	製品化・サービス化
AmPmが、ダンストラック「Tokyo」をリミックスした「Tokyo、」の配信を開始した。	製品化・サービス化
グローバル刃物メーカーの貝印株式会社は、「ねこ」をテーマとしたビューティーツールシリーズ「Nyarming」の新商品「ねこのシャンプーグローブ」「ねこの洗顔ブラシ」を、2022年3月8日より、貝印公式オンラインストアをはじめ、全国のドラッグストア、ホームセンター、大手量販店などにて発売いたします。	製品化・サービス化
